W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time
win,Cory Sandhagen  Song Yadong,0  0,94  54,1  2,0  0,Bantamweight,KO/TKO,4,5:00
win,Gregory Rodrigues  Chidi Njokuani,1  0,48  44,1  0,0  0,Middleweight,KO/TKO  Punches,2,1:27
win,Andre Fili  Bill Algeo,0  0,59  81,1  0,2  0,Featherweight,S-DEC,3,5:00
win,Joe Pyfer  Alen Amedovski,1  0,14  11,0  0,0  0,Middleweight,KO/TKO  Punch,1,3:55
win,Rodrigo Nascimento  Tanner Boser,0  0,36  62,3  0,1  0,Heavyweight,S-DEC,3,5:00
win,Anthony Hernandez  Marc-Andre Barriault,0  0,39  25,8  0,2  0,Middleweight,SUB  Arm Triangle,3,1:53
win,Damon Jackson  Pat Sabatini,0  0,11  1,1  0,0  0,Featherweight,KO/TKO  Punches,1,1:09
win,Trevin Giles  Louis Cosce,0  0,25  10,2  1,0  1,Welterweight,U-DEC,3,5:00
win,Loma Lookboonmee  Denise Gomes,0  0,48  19,4  0,0  3,Women's Strawweight,U-DEC,3,5:00
win,Trey Ogden  Daniel Zellhuber,0  0,71  52,1  0,0  0,Lightweight,U-DEC,3,5:00
win,Gillian Robertson  Mariya Agapova,0  0,4  39,3  0,1  1,Women's Flyweight,SUB  Rear Naked Choke,2,2:19
win,Javid Basharat  Tony Gravely,0  0,80  33,2  2,0  0,Bantamweight,U-DEC,3,5:00
win,Nikolas Motta  Cameron VanCamp,1  0,24  15,0  0,0  0,Lightweight,KO/TKO  Punch,1,3:49
win,Nate Diaz  Tony Ferguson,0  0,101  80,0  1,1  0,Welterweight,SUB  Guillotine Choke,4,2:52
win,Khamzat Chimaev  Kevin Holland,0  0,0  0,2  0,2  0,Catch Weight,SUB  D'Arce Choke,1,2:13
win,Daniel Rodriguez  Li Jingliang,0  0,88  78,0  1,0  0,Catch Weight,S-DEC,3,5:00
win,Irene Aldana  Macy Chiasson,1  0,37  39,0  3,2  0,Catch Weight,KO/TKO  Kick,3,2:21
win,Johnny Walker  Ion Cutelaba,0  0,3  3,1  1,3  0,Light Heavyweight,SUB  Rear Naked Choke,1,4:37
win,Julian Erosa  Hakeem Dawodu,0  0,92  74,2  0,0  0,Featherweight,U-DEC,3,5:00
win,Jailton Almeida  Anton Turkalj,0  0,17  1,3  0,2  0,Catch Weight,SUB  Rear Naked Choke,1,4:27
win,Denis Tiuliulin  Jamie Pickett,2  0,73  60,0  0,0  0,Middleweight,KO/TKO  Punches,2,4:52
win,Chris Barnett  Jake Collier,0  1,54  51,0  1,0  1,Heavyweight,KO/TKO  Punches,2,2:24
win,Norma Dumont  Danyelle Wolf,1  0,52  20,2  0,0  0,Women's Featherweight,U-DEC,3,5:00
win,Alatengheili  Chad Anheliger,0  0,49  39,2  0,0  0,Bantamweight,U-DEC,3,5:00
win,Elise Reed  Melissa Martinez,1  0,38  45,3  1,0  0,Women's Strawweight,U-DEC,3,5:00
win,Yohan Lainesse  Darian Weeks,0  0,23  44,0  1,0  0,Welterweight,S-DEC,3,5:00
win,Ciryl Gane  Tai Tuivasa,1  1,110  29,0  0,0  0,Heavyweight,KO/TKO  Punches,3,4:23
win,Robert Whittaker  Marvin Vettori,0  0,74  33,1  0,0  0,Middleweight,U-DEC,3,5:00
win,Nassourdine Imavov  Joaquin Buckley,0  0,51  46,2  0,2  0,Middleweight,U-DEC,3,5:00
win,Roman Kopylov  Alessio Di Chirico,1  0,59  39,0  0,0  0,Middleweight,KO/TKO  Punches,3,1:09
win,William Gomis  Jarno Errens,0  0,32  20,3  0,0  1,Featherweight,U-DEC,3,5:00
win,Nathaniel Wood  Charles Jourdain,0  0,97  86,5  1,0  0,Featherweight,U-DEC,3,5:00
win,Abus Magomedov  Dustin Stoltzfus,1  0,7  0,0  0,0  0,Middleweight,KO/TKO  Punches,1,0:19
win,Nasrat Haqparast  John Makdessi,1  0,64  73,2  0,0  0,Lightweight,U-DEC,3,5:00
win,Fares Ziam  Michal Figlak,0  0,60  28,3  1,0  0,Lightweight,U-DEC,3,5:00
win,Benoit Saint Denis  Gabriel Miranda,3  0,42  20,1  1,0  0,Lightweight,KO/TKO  Punch,2,0:16
win,Cristian Quinonez  Khalid Taha,0  0,19  6,0  0,0  0,Bantamweight,KO/TKO  Punches,1,3:15
win,Stephanie Egger  Ailin Perez,0  0,15  16,2  1,1  0,Women's Featherweight,SUB  Rear Naked Choke,2,4:54
win,Leon Edwards  Kamaru Usman,1  0,55  83,1  5,1  0,Welterweight,KO/TKO  Kick,5,4:04
win,Paulo Costa  Luke Rockhold,0  0,73  51,2  1,0  0,Middleweight,U-DEC,3,5:00
win,Merab Dvalishvili  Jose Aldo,0  0,57  38,0  0,0  0,Bantamweight,U-DEC,3,5:00
win,Lucie Pudilova  Wu Yanan,0  0,39  26,2  0,1  0,Women's Bantamweight,KO/TKO  Elbows,2,4:04
win,Tyson Pedro  Harry Hunsucker,1  0,6  2,0  0,0  0,Light Heavyweight,KO/TKO  Kick,1,1:05
win,Marcin Tybura  Alexandr Romanov,0  0,47  40,0  2,0  0,Heavyweight,M-DEC,3,5:00
win,Jared Gordon  Leonardo Santos,0  0,116  36,0  0,0  0,Lightweight,U-DEC,3,5:00
draw  draw,Sean Woodson  Luis Saldana,0  2,73  91,0  1,1  0,Featherweight,S-DEC,3,5:00
win,Ange Loosa  AJ Fletcher,0  0,129  87,2  0,0  0,Welterweight,U-DEC,3,5:00
win,Amir Albazi  Francisco Figueiredo,0  0,12  11,2  0,1  0,Flyweight,SUB  Rear Naked Choke,1,4:34
win,Aoriqileng  Jay Perrin,0  0,72  88,0  3,0  0,Bantamweight,U-DEC,3,5:00
win,Victor Altamirano  Daniel Da Silva,1  1,58  22,0  0,0  0,Flyweight,KO/TKO  Punches,1,3:39
win,Marlon Vera  Dominick Cruz,3  0,61  92,0  2,0  0,Bantamweight,KO/TKO  Kick,4,2:17
win,Nate Landwehr  David Onama,0  1,91  71,3  1,2  0,Featherweight,M-DEC,3,5:00
win,Yazmin Jauregui  Iasmin Lucindo,0  0,86  66,0  0,0  0,Women's Strawweight,U-DEC,3,5:00
win,Azamat Murzakanov  Devin Clark,1  0,79  14,0  0,0  0,Light Heavyweight,KO/TKO  Punch,3,1:18
win,Priscila Cachoeira  Ariane Lipski,1  0,20  4,0  0,0  0,Women's Bantamweight,KO/TKO  Punches,1,1:05
win,Gerald Meerschaert  Bruno Silva,1  0,46  29,1  0,1  0,Middleweight,SUB  Guillotine Choke,3,1:39
win,Angela Hill  Loopy Godinez,0  0,85  92,1  1,0  0,Catch Weight,U-DEC,3,5:00
win,Martin Buday  Lukasz Brzeski,0  0,66  118,0  0,0  0,Heavyweight,S-DEC,3,5:00
win,Nina Nunes  Cynthia Calvillo,0  0,39  48,0  3,0  0,Women's Flyweight,S-DEC,3,5:00
win,Gabriel Benitez  Charlie Ontiveros,0  0,37  22,1  0,0  0,Lightweight,KO/TKO  Punches,1,3:33
win,Tyson Nam  Ode Osbourne,1  0,13  15,0  0,0  0,Flyweight,KO/TKO  Punch,1,2:59
win,Josh Quinlan  Jason Witt,1  0,3  1,0  1,0  0,Catch Weight,KO/TKO  Punch,1,2:09
draw  draw,Youssef Zalal  Da'Mon Blackshear,0  0,63  27,1  1,1  1,Bantamweight,M-DEC,3,5:00
win,Jamahal Hill  Thiago Santos,0  0,89  53,0  6,0  0,Light Heavyweight,KO/TKO  Elbows,4,2:31
win,Geoff Neal  Vicente Luque,2  0,121  97,1  0,0  0,Welterweight,KO/TKO  Punches,3,2:01
win,Mohammed Usman  Zac Pauga,1  0,12  32,0  0,0  0,Heavyweight,KO/TKO  Punch,2,0:36
win,Juliana Miller  Brogan Walker,0  0,54  30,4  0,1  0,Women's Flyweight,KO/TKO  Elbows,3,3:57
win,Serghei Spivac  Augusto Sakai,0  0,33  8,6  0,1  0,Heavyweight,KO/TKO  Punches,2,3:42
win,Terrance McKinney  Erick Gonzalez,0  0,18  9,1  0,1  0,Lightweight,SUB  Rear Naked Choke,1,2:17
win,Michal Oleksiejczuk  Sam Alvey,2  0,22  3,0  0,0  0,Middleweight,KO/TKO  Punch,1,1:56
win,Bryan Battle  Takashi Sato,1  0,7  2,0  0,0  0,Welterweight,KO/TKO  Kick,1,0:44
win,Cory McKenna  Miranda Granger,0  0,13  13,3  0,2  0,Women's Strawweight,SUB  Von Flue Choke,2,1:03
win,Mayra Bueno Silva  Stephanie Egger,0  0,4  8,0  1,1  0,Women's Bantamweight,SUB  Armbar,1,1:17
win,Amanda Nunes  Julianna Pena,3  0,85  60,6  0,1  1,Women's Bantamweight,U-DEC,5,5:00
win,Brandon Moreno  Kai Kara-France,1  0,58  53,0  1,0  0,Flyweight,KO/TKO  Kick,3,4:34
win,Sergei Pavlovich  Derrick Lewis,1  0,15  4,0  0,0  0,Heavyweight,KO/TKO  Punches,1,0:55
win,Alexandre Pantoja  Alex Perez,0  0,8  10,1  0,1  0,Flyweight,SUB  Neck Crank,1,1:31
win,Magomed Ankalaev  Anthony Smith,0  0,46  18,0  0,0  0,Light Heavyweight,KO/TKO  Punches,2,3:09
win,Alex Morono  Matthew Semelsberger,0  1,106  74,0  1,0  0,Welterweight,U-DEC,3,5:00
win,Drew Dober  Rafael Alves,1  0,62  37,0  1,0  0,Lightweight,KO/TKO  Punch,3,1:30
win,Hamdy Abdelwahab  Don'Tale Mayes,1  0,58  47,3  0,0  0,Heavyweight,S-DEC,3,5:00
win,Drakkar Klose  Rafa Garcia,0  0,61  34,2  3,0  0,Lightweight,U-DEC,3,5:00
win,Michael Morales  Adam Fugitt,2  0,83  64,0  1,0  0,Welterweight,KO/TKO  Punch,3,1:09
win,Joselyne Edwards  Ji Yeon Kim,0  0,101  78,1  0,0  0,Women's Bantamweight,S-DEC,3,5:00
win,Nicolae Negumereanu  Ihor Potieria,0  0,51  38,2  0,0  0,Light Heavyweight,KO/TKO  Knees,2,3:33
win,Orion Cosce  Blood Diamond,0  0,25  63,3  0,0  0,Welterweight,U-DEC,3,5:00
win,Curtis Blaydes  Tom Aspinall,0  0,4  3,0  0,0  0,Heavyweight,KO/TKO,1,0:15
win,Jack Hermansson  Chris Curtis,0  0,100  43,0  0,0  0,Middleweight,U-DEC,3,5:00
win,Paddy Pimblett  Jordan Leavitt,0  0,17  16,1  3,4  0,Lightweight,SUB  Rear Naked Choke,2,2:46
win,Nikita Krylov  Alexander Gustafsson,2  0,26  5,0  0,0  0,Light Heavyweight,KO/TKO  Punch,1,1:07
win,Molly McCann  Hannah Goldy,1  0,24  9,0  0,0  0,Women's Flyweight,KO/TKO  Spinning Back Elbow,1,3:52
win,Volkan Oezdemir  Paul Craig,0  0,72  33,1  0,0  0,Light Heavyweight,U-DEC,3,5:00
win,Ludovit Klein  Mason Jones,1  0,50  43,0  0,0  0,Lightweight,U-DEC,3,5:00
win,Marc Diakiese  Damir Hadzovic,0  0,13  5,8  0,0  0,Lightweight,U-DEC,3,5:00
win,Nathaniel Wood  Charles Rosa,0  0,97  51,1  2,0  1,Featherweight,U-DEC,3,5:00
win,Jonathan Pearce  Makwan Amirkhani,0  0,90  11,4  3,0  0,Featherweight,KO/TKO  Punches,2,4:10
win,Muhammad Mokaev  Charles Johnson,0  0,12  12,12  0,0  0,Flyweight,U-DEC,3,5:00
win,Jai Herbert  Kyle Nelson,0  0,36  41,0  0,0  0,Lightweight,U-DEC,3,5:00
win,Victoria Leonardo  Mandy Bohm,0  0,39  52,2  0,0  1,Women's Flyweight,U-DEC,3,5:00
win,Nicolas Dalby  Claudio Silva,0  0,45  11,1  4,1  0,Welterweight,U-DEC,3,5:00
win,Yair Rodriguez  Brian Ortega,0  0,23  22,0  1,0  0,Featherweight,KO/TKO,1,4:11
win,Amanda Lemos  Michelle Waterson-Gomez,0  0,20  29,0  1,1  0,Women's Strawweight,SUB  Guillotine Choke,2,1:48
win,Li Jingliang  Muslim Salikhov,1  0,38  23,1  1,0  0,Welterweight,KO/TKO  Punches,2,4:38
win,Matt Schnell  Sumudaerji,0  1,47  58,2  0,2  0,Flyweight,SUB  Triangle Choke,2,4:24
win,Shane Burgos  Charles Jourdain,0  0,42  113,2  0,3  0,Featherweight,M-DEC,3,5:00
win,Lauren Murphy  Miesha Tate,0  0,102  85,2  0,0  0,Women's Flyweight,U-DEC,3,5:00
win,Punahele Soriano  Dalcha Lungiambula,1  0,17  11,0  2,0  0,Middleweight,KO/TKO  Punch,2,0:28
win,Ricky Simon  Jack Shore,1  0,25  19,2  0,1  0,Bantamweight,SUB  Arm Triangle,2,3:28
win,Bill Algeo  Herbert Burns,0  0,28  10,1  1,0  2,Featherweight,KO/TKO,2,1:50
win,Dustin Jacoby  Da-Un Jung,1  0,14  14,0  0,0  0,Light Heavyweight,KO/TKO  Punch,1,3:13
win,Dustin Stoltzfus  Dwight Grant,0  0,49  52,2  0,0  0,Middleweight,U-DEC,3,5:00
win,Emily Ducote  Jessica Penne,0  0,116  63,0  0,0  0,Women's Strawweight,U-DEC,3,5:00
win,Rafael Fiziev  Rafael Dos Anjos,1  0,64  54,0  2,0  0,Lightweight,KO/TKO  Punch,5,0:18
win,Caio Borralho  Armen Petrosyan,0  0,12  31,4  0,0  0,Middleweight,U-DEC,3,5:00
win,Said Nurmagomedov  Douglas Silva de Andrade,0  0,42  28,1  1,0  0,Bantamweight,U-DEC,3,5:00
win,Chase Sherman  Jared Vanderaa,1  0,137  109,0  0,0  0,Heavyweight,KO/TKO  Punches,3,3:10
win,Aiemann Zahabi  Ricky Turcios,0  0,54  27,0  0,0  0,Bantamweight,U-DEC,3,5:00
win,Jamie Mullarkey  Michael Johnson,0  1,96  66,0  0,0  0,Lightweight,S-DEC,3,5:00
win,Cody Brundage  Tresean Gore,1  0,15  8,1  0,0  0,Middleweight,KO/TKO  Punch,1,3:50
win,Antonina Shevchenko  Cortney Casey,0  0,55  33,0  2,0  0,Women's Flyweight,S-DEC,3,5:00
win,David Onama  Garrett Armfield,0  0,29  21,2  0,1  0,Featherweight,SUB  Arm Triangle,2,3:13
win,Kennedy Nzechukwu  Karl Roberson,0  0,20  9,5  0,1  0,Light Heavyweight,KO/TKO  Elbows,3,2:19
win,Saidyokub Kakhramonov  Ronnie Lawrence,0  0,32  15,10  1,0  0,Bantamweight,U-DEC,3,5:00
win,Israel Adesanya  Jared Cannonier,0  0,116  90,0  0,0  0,Middleweight,U-DEC,5,5:00
win,Alexander Volkanovski  Max Holloway,0  0,199  127,0  0,0  0,Featherweight,U-DEC,5,5:00
win,Alex Pereira  Sean Strickland,1  0,25  15,0  0,0  0,Middleweight,KO/TKO  Punches,1,2:36
win,Bryan Barberena  Robbie Lawler,0  0,147  81,0  0,0  0,Welterweight,KO/TKO  Punches,2,4:47
nc  nc,Pedro Munhoz  Sean O'Malley,0  0,26  25,0  0,0  0,Bantamweight,CNC,2,3:09
win,Jalin Turner  Brad Riddell,0  0,3  2,0  0,1  0,Lightweight,SUB  Guillotine Choke,1,0:45
win,Jim Miller  Donald Cerrone,0  0,24  21,1  0,1  0,Welterweight,SUB  Guillotine Choke,2,1:32
win,Ian Garry  Gabe Green,1  0,116  90,1  1,0  0,Welterweight,U-DEC,3,5:00
win,Dricus Du Plessis  Brad Tavares,0  0,113  82,0  0,0  0,Middleweight,U-DEC,3,5:00
win,Andre Muniz  Uriah Hall,0  0,17  6,4  0,0  0,Middleweight,U-DEC,3,5:00
win,Maycee Barber  Jessica Eye,0  0,63  35,0  1,0  0,Women's Flyweight,U-DEC,3,5:00
win,Julija Stoliarenko  Jessica-Rose Clark,0  0,6  9,1  0,1  0,Women's Bantamweight,SUB  Armbar,1,0:42
win,Mateusz Gamrot  Arman Tsarukyan,0  1,81  95,6  1,0  0,Lightweight,U-DEC,5,5:00
win,Shavkat Rakhmonov  Neil Magny,0  0,19  11,2  0,1  0,Welterweight,SUB  Guillotine Choke,2,4:58
win,Josh Parisian  Alan Baudot,0  1,42  49,3  0,0  0,Heavyweight,KO/TKO  Punches,2,3:04
win,Thiago Moises  Christos Giagos,0  0,3  2,1  0,1  0,Lightweight,SUB  Rear Naked Choke,1,3:05
win,Umar Nurmagomedov  Nate Maness,0  0,74  2,3  0,0  0,Bantamweight,U-DEC,3,5:00
win,Chris Curtis  Rodolfo Vieira,0  0,109  86,0  0,0  0,Middleweight,U-DEC,3,5:00
win,Carlos Ulberg  Tafon Nchukwi,1  0,15  3,0  0,0  0,Light Heavyweight,KO/TKO  Punches,1,1:15
win,Shayilan Nuerdanbieke  TJ Brown,1  0,47  42,3  1,0  4,Featherweight,U-DEC,3,5:00
win,Sergey Morozov  Raulian Paiva,0  0,68  63,2  1,0  0,Bantamweight,U-DEC,3,5:00
win,Cody Durden  JP Buys,1  0,23  7,0  0,0  0,Flyweight,KO/TKO  Punch,1,1:08
win,Mario Bautista  Brian Kelleher,0  0,6  2,2  0,1  0,Bantamweight,SUB  Rear Naked Choke,1,2:27
